index,x,y,z,name,network,
1,0.47059,0.070588,0.50588,7Networks_LH_Vis_1,0,1
101,0.48627,0.070588,0.50588,7Networks_RH_Vis_1,0,2
2,0.47059,0.070588,0.5098,7Networks_LH_Vis_2,0,3
102,0.48627,0.070588,0.5098,7Networks_RH_Vis_2,0,4
3,0.47059,0.070588,0.51373,7Networks_LH_Vis_3,0,5
103,0.48627,0.070588,0.51373,7Networks_RH_Vis_3,0,6
4,0.47059,0.070588,0.51765,7Networks_LH_Vis_4,0,7
104,0.48627,0.070588,0.51765,7Networks_RH_Vis_4,0,8
5,0.47059,0.070588,0.52157,7Networks_LH_Vis_5,0,9
105,0.48627,0.070588,0.52157,7Networks_RH_Vis_5,0,10
6,0.47059,0.070588,0.52941,7Networks_LH_Vis_6,0,11
106,0.48627,0.070588,0.52549,7Networks_RH_Vis_6,0,12
7,0.47059,0.070588,0.53333,7Networks_LH_Vis_7,0,13
107,0.48627,0.070588,0.53333,7Networks_RH_Vis_7,0,14
8,0.47059,0.070588,0.53725,7Networks_LH_Vis_8,0,15
108,0.48627,0.070588,0.53725,7Networks_RH_Vis_8,0,16
9,0.47059,0.070588,0.54118,7Networks_LH_Vis_9,0,17
109,0.48627,0.070588,0.54118,7Networks_RH_Vis_9,0,18
10,0.47059,0.070588,0.5451,7Networks_LH_Vis_10,0,19
110,0.48627,0.070588,0.5451,7Networks_RH_Vis_10,0,20
11,0.47059,0.070588,0.54902,7Networks_LH_Vis_11,0,21
111,0.48627,0.070588,0.54902,7Networks_RH_Vis_11,0,22
12,0.47059,0.070588,0.55294,7Networks_LH_Vis_12,0,23
112,0.48627,0.070588,0.55294,7Networks_RH_Vis_12,0,24
13,0.47059,0.07451,0.52549,7Networks_LH_Vis_13,0,25
113,0.48627,0.070588,0.55686,7Networks_RH_Vis_13,0,26
14,0.47059,0.07451,0.52941,7Networks_LH_Vis_14,0,27
114,0.48627,0.07451,0.52941,7Networks_RH_Vis_14,0,28
15,0.27451,0.5098,0.68235,7Networks_LH_SomMot_1,1,29
115,0.48627,0.07451,0.53333,7Networks_RH_Vis_15,0,30
16,0.27451,0.5098,0.68627,7Networks_LH_SomMot_2,1,31
116,0.2902,0.50588,0.7098,7Networks_RH_SomMot_1,1,32
17,0.27451,0.5098,0.6902,7Networks_LH_SomMot_3,1,33
117,0.2902,0.5098,0.68235,7Networks_RH_SomMot_2,1,34
18,0.27451,0.5098,0.69412,7Networks_LH_SomMot_4,1,35
118,0.2902,0.5098,0.68627,7Networks_RH_SomMot_3,1,36
19,0.27451,0.5098,0.69804,7Networks_LH_SomMot_5,1,37
119,0.2902,0.5098,0.6902,7Networks_RH_SomMot_4,1,38
20,0.27451,0.5098,0.70196,7Networks_LH_SomMot_6,1,39
120,0.2902,0.5098,0.69412,7Networks_RH_SomMot_5,1,40
21,0.27451,0.5098,0.7098,7Networks_LH_SomMot_7,1,41
121,0.2902,0.5098,0.69804,7Networks_RH_SomMot_6,1,42
22,0.27451,0.5098,0.71373,7Networks_LH_SomMot_8,1,43
122,0.2902,0.5098,0.70196,7Networks_RH_SomMot_7,1,44
23,0.27451,0.5098,0.71765,7Networks_LH_SomMot_9,1,45
123,0.2902,0.5098,0.70588,7Networks_RH_SomMot_8,1,46
24,0.27451,0.5098,0.72157,7Networks_LH_SomMot_10,1,47
124,0.2902,0.5098,0.71373,7Networks_RH_SomMot_9,1,48
25,0.27451,0.5098,0.72549,7Networks_LH_SomMot_11,1,49
125,0.2902,0.5098,0.71765,7Networks_RH_SomMot_10,1,50
26,0.27451,0.5098,0.72941,7Networks_LH_SomMot_12,1,51
126,0.2902,0.5098,0.72157,7Networks_RH_SomMot_11,1,52
27,0.27451,0.5098,0.73333,7Networks_LH_SomMot_13,1,53
127,0.2902,0.5098,0.72549,7Networks_RH_SomMot_12,1,54
28,0.27451,0.51373,0.70588,7Networks_LH_SomMot_14,1,55
128,0.2902,0.5098,0.72941,7Networks_RH_SomMot_13,1,56
29,0.27451,0.51373,0.7098,7Networks_LH_SomMot_15,1,57
129,0.2902,0.5098,0.73333,7Networks_RH_SomMot_14,1,58
30,0.27451,0.51373,0.71373,7Networks_LH_SomMot_16,1,59
130,0.2902,0.5098,0.73725,7Networks_RH_SomMot_15,1,60
31,0,0.46275,0.043137,7Networks_LH_DorsAttn_Post_1,2,61
131,0.2902,0.51373,0.7098,7Networks_RH_SomMot_16,1,62
32,0,0.46275,0.047059,7Networks_LH_DorsAttn_Post_2,2,63
132,0.2902,0.51373,0.71373,7Networks_RH_SomMot_17,1,64
33,0,0.46275,0.05098,7Networks_LH_DorsAttn_Post_3,2,65
133,0.2902,0.51373,0.71765,7Networks_RH_SomMot_18,1,66
34,0,0.46275,0.058824,7Networks_LH_DorsAttn_Post_4,2,67
134,0.2902,0.51373,0.72157,7Networks_RH_SomMot_19,1,68
35,0,0.46275,0.062745,7Networks_LH_DorsAttn_Post_5,2,69
135,0.015686,0.46667,0.047059,7Networks_RH_DorsAttn_Post_1,2,70
36,0,0.46275,0.066667,7Networks_LH_DorsAttn_Post_6,2,71
136,0.015686,0.46667,0.05098,7Networks_RH_DorsAttn_Post_2,2,72
37,0,0.46275,0.070588,7Networks_LH_DorsAttn_Post_7,2,73
137,0.015686,0.46667,0.054902,7Networks_RH_DorsAttn_Post_3,2,74
38,0,0.46275,0.07451,7Networks_LH_DorsAttn_Post_8,2,75
138,0.015686,0.46667,0.062745,7Networks_RH_DorsAttn_Post_4,2,76
39,0,0.46275,0.078431,7Networks_LH_DorsAttn_Post_9,2,77
139,0.015686,0.46667,0.066667,7Networks_RH_DorsAttn_Post_5,2,78
40,0,0.46275,0.082353,7Networks_LH_DorsAttn_Post_10,2,79
140,0.015686,0.46667,0.070588,7Networks_RH_DorsAttn_Post_6,2,80
41,0,0.46275,0.086275,7Networks_LH_DorsAttn_FEF_1,2,81
141,0.015686,0.46667,0.07451,7Networks_RH_DorsAttn_Post_7,2,82
42,0,0.46667,0.058824,7Networks_LH_DorsAttn_FEF_2,2,83
142,0.015686,0.46667,0.078431,7Networks_RH_DorsAttn_Post_8,2,84
43,0,0.46667,0.062745,7Networks_LH_DorsAttn_PrCv_1,2,85
143,0.015686,0.46667,0.082353,7Networks_RH_DorsAttn_Post_9,2,86
44,0.76863,0.22745,0.98431,7Networks_LH_SalVentAttn_ParOper_1,3,87
144,0.015686,0.46667,0.086275,7Networks_RH_DorsAttn_Post_10,2,88
45,0.76863,0.22745,0.98824,7Networks_LH_SalVentAttn_ParOper_2,3,89
145,0.019608,0.46275,0.058824,7Networks_RH_DorsAttn_FEF_1,2,90
46,0.76863,0.22745,0.99216,7Networks_LH_SalVentAttn_ParOper_3,3,91
146,0.019608,0.46275,0.062745,7Networks_RH_DorsAttn_FEF_2,2,92
47,0.76863,0.23137,0.98431,7Networks_LH_SalVentAttn_FrOperIns_1,3,93
147,0.019608,0.46275,0.066667,7Networks_RH_DorsAttn_PrCv_1,2,94
48,0.76863,0.23137,0.98824,7Networks_LH_SalVentAttn_FrOperIns_2,3,95
148,0.78824,0.22745,0.98824,7Networks_RH_SalVentAttn_TempOccPar_1,3,96
49,0.76863,0.23137,0.99216,7Networks_LH_SalVentAttn_FrOperIns_3,3,97
149,0.78824,0.22745,0.99216,7Networks_RH_SalVentAttn_TempOccPar_2,3,98
50,0.76863,0.23137,0.99608,7Networks_LH_SalVentAttn_FrOperIns_4,3,99
150,0.78824,0.22745,0.99608,7Networks_RH_SalVentAttn_TempOccPar_3,3,100
51,0.76863,0.23137,1,7Networks_LH_SalVentAttn_PFCl_1,3,101
151,0.78824,0.23137,0.98431,7Networks_RH_SalVentAttn_PrC_1,3,102
52,0.77255,0.22745,0.98431,7Networks_LH_SalVentAttn_Med_1,3,103
152,0.78824,0.23137,0.98824,7Networks_RH_SalVentAttn_FrOperIns_1,3,104
53,0.77255,0.22745,0.98824,7Networks_LH_SalVentAttn_Med_2,3,105
153,0.78824,0.23137,0.99216,7Networks_RH_SalVentAttn_FrOperIns_2,3,106
54,0.77255,0.22745,0.99216,7Networks_LH_SalVentAttn_Med_3,3,107
154,0.78824,0.23137,0.99608,7Networks_RH_SalVentAttn_FrOperIns_3,3,108
55,0.86275,0.97255,0.64706,7Networks_LH_Limbic_OFC_1,4,109
155,0.78824,0.23137,1,7Networks_RH_SalVentAttn_FrOperIns_4,3,110
56,0.86275,0.97255,0.65098,7Networks_LH_Limbic_OFC_2,4,111
156,0.78431,0.22353,0.98039,7Networks_RH_SalVentAttn_Med_1,3,112
57,0.86275,0.97255,0.6549,7Networks_LH_Limbic_TempPole_1,4,113
157,0.78431,0.22353,0.98431,7Networks_RH_SalVentAttn_Med_2,3,114
58,0.86275,0.97255,0.65882,7Networks_LH_Limbic_TempPole_2,4,115
158,0.78431,0.22353,0.98824,7Networks_RH_SalVentAttn_Med_3,3,116
59,0.86275,0.97255,0.66275,7Networks_LH_Limbic_TempPole_3,4,117
159,0.87843,0.97647,0.64706,7Networks_RH_Limbic_OFC_1,4,118
60,0.86275,0.97255,0.66667,7Networks_LH_Limbic_TempPole_4,4,119
160,0.87843,0.97647,0.65098,7Networks_RH_Limbic_OFC_2,4,120
61,0.90196,0.58039,0.13725,7Networks_LH_Cont_Par_1,5,121
161,0.87843,0.97647,0.6549,7Networks_RH_Limbic_OFC_3,4,122
62,0.90196,0.58039,0.14118,7Networks_LH_Cont_Par_2,5,123
162,0.87843,0.97647,0.65882,7Networks_RH_Limbic_TempPole_1,4,124
63,0.90196,0.58039,0.1451,7Networks_LH_Cont_Par_3,5,125
163,0.87843,0.97647,0.66275,7Networks_RH_Limbic_TempPole_2,4,126
64,0.90196,0.58039,0.14902,7Networks_LH_Cont_Temp_1,5,127
164,0.87843,0.97647,0.66667,7Networks_RH_Limbic_TempPole_3,4,128
65,0.90196,0.58431,0.13333,7Networks_LH_Cont_OFC_1,5,129
165,0.91765,0.57647,0.13725,7Networks_RH_Cont_Par_1,5,130
66,0.90196,0.58431,0.14118,7Networks_LH_Cont_PFCl_1,5,131
166,0.91765,0.57647,0.14118,7Networks_RH_Cont_Par_2,5,132
67,0.90196,0.58431,0.1451,7Networks_LH_Cont_PFCl_2,5,133
167,0.91765,0.57647,0.1451,7Networks_RH_Cont_Par_3,5,134
68,0.90196,0.58431,0.14902,7Networks_LH_Cont_PFCl_3,5,135
168,0.91765,0.57647,0.13333,7Networks_RH_Cont_Temp_1,5,136
69,0.90196,0.58431,0.15294,7Networks_LH_Cont_PFCl_4,5,137
169,0.91373,0.58039,0.13725,7Networks_RH_Cont_PFCv_1,5,138
70,0.90196,0.58431,0.15686,7Networks_LH_Cont_PFCl_5,5,139
170,0.91373,0.58039,0.12157,7Networks_RH_Cont_PFCl_1,5,140
71,0.90588,0.58431,0.13725,7Networks_LH_Cont_pCun_1,5,141
171,0.91373,0.58039,0.12549,7Networks_RH_Cont_PFCl_2,5,142
72,0.90588,0.58431,0.14118,7Networks_LH_Cont_Cing_1,5,143
172,0.91373,0.58039,0.13333,7Networks_RH_Cont_PFCl_3,5,144
73,0.90588,0.58431,0.1451,7Networks_LH_Cont_Cing_2,5,145
173,0.91373,0.58039,0.14118,7Networks_RH_Cont_PFCl_4,5,146
74,0.80392,0.24314,0.29804,7Networks_LH_Default_Temp_1,6,147
174,0.91373,0.58039,0.1451,7Networks_RH_Cont_PFCl_5,5,148
75,0.80392,0.24314,0.30196,7Networks_LH_Default_Temp_2,6,149
175,0.91373,0.58039,0.14902,7Networks_RH_Cont_PFCl_6,5,150
76,0.80392,0.24314,0.30588,7Networks_LH_Default_Temp_3,6,151
176,0.91373,0.58039,0.15294,7Networks_RH_Cont_PFCl_7,5,152
77,0.80392,0.24314,0.31373,7Networks_LH_Default_Temp_4,6,153
177,0.91373,0.57647,0.13725,7Networks_RH_Cont_pCun_1,5,154
78,0.80392,0.24314,0.31765,7Networks_LH_Default_Temp_5,6,155
178,0.91765,0.58039,0.1451,7Networks_RH_Cont_Cing_1,5,156
79,0.80392,0.24314,0.32157,7Networks_LH_Default_Par_1,6,157
179,0.91765,0.58039,0.14902,7Networks_RH_Cont_Cing_2,5,158
80,0.80392,0.24314,0.32549,7Networks_LH_Default_Par_2,6,159
180,0.91765,0.58039,0.15294,7Networks_RH_Cont_PFCmp_1,5,160
81,0.80392,0.24314,0.32941,7Networks_LH_Default_Par_3,6,161
181,0.91765,0.58039,0.15686,7Networks_RH_Cont_PFCmp_2,5,162
82,0.80392,0.24314,0.33333,7Networks_LH_Default_Par_4,6,163
182,0.81961,0.24314,0.30588,7Networks_RH_Default_Par_1,6,164
83,0.80392,0.24706,0.28627,7Networks_LH_Default_PFC_1,6,165
183,0.81961,0.24314,0.3098,7Networks_RH_Default_Par_2,6,166
84,0.80392,0.24706,0.2902,7Networks_LH_Default_PFC_2,6,167
184,0.81961,0.24314,0.31373,7Networks_RH_Default_Par_3,6,168
85,0.80392,0.24706,0.29412,7Networks_LH_Default_PFC_3,6,169
185,0.81961,0.23922,0.30196,7Networks_RH_Default_Temp_1,6,170
86,0.80392,0.24706,0.29804,7Networks_LH_Default_PFC_4,6,171
186,0.81961,0.23922,0.3098,7Networks_RH_Default_Temp_2,6,172
87,0.80392,0.24706,0.30196,7Networks_LH_Default_PFC_5,6,173
187,0.81961,0.23922,0.31373,7Networks_RH_Default_Temp_3,6,174
88,0.80392,0.24706,0.3098,7Networks_LH_Default_PFC_6,6,175
188,0.81961,0.23922,0.31765,7Networks_RH_Default_Temp_4,6,176
89,0.80392,0.24706,0.31373,7Networks_LH_Default_PFC_7,6,177
189,0.81961,0.23922,0.32157,7Networks_RH_Default_Temp_5,6,178
90,0.80392,0.24706,0.31765,7Networks_LH_Default_PFC_8,6,179
190,0.81961,0.23922,0.30588,7Networks_RH_Default_PFCv_1,6,180
91,0.80392,0.24706,0.32157,7Networks_LH_Default_PFC_9,6,181
191,0.81569,0.24314,0.29804,7Networks_RH_Default_PFCdPFCm_1,6,182
92,0.80392,0.24706,0.32549,7Networks_LH_Default_PFC_10,6,183
192,0.81569,0.24314,0.30196,7Networks_RH_Default_PFCdPFCm_2,6,184
93,0.80392,0.24706,0.32941,7Networks_LH_Default_PFC_11,6,185
193,0.81569,0.24314,0.3098,7Networks_RH_Default_PFCdPFCm_3,6,186
94,0.80392,0.24706,0.33333,7Networks_LH_Default_PFC_12,6,187
194,0.81569,0.24314,0.31373,7Networks_RH_Default_PFCdPFCm_4,6,188
95,0.80392,0.25098,0.30588,7Networks_LH_Default_PFC_13,6,189
195,0.81569,0.24314,0.31765,7Networks_RH_Default_PFCdPFCm_5,6,190
96,0.80392,0.24706,0.33725,7Networks_LH_Default_pCunPCC_1,6,191
196,0.81569,0.24314,0.32157,7Networks_RH_Default_PFCdPFCm_6,6,192
97,0.80392,0.25098,0.3098,7Networks_LH_Default_pCunPCC_2,6,193
197,0.81569,0.24314,0.32549,7Networks_RH_Default_PFCdPFCm_7,6,194
98,0.80392,0.25098,0.31373,7Networks_LH_Default_pCunPCC_3,6,195
198,0.81569,0.24314,0.30588,7Networks_RH_Default_pCunPCC_1,6,196
99,0.80392,0.25098,0.31765,7Networks_LH_Default_pCunPCC_4,6,197
199,0.81569,0.24314,0.32941,7Networks_RH_Default_pCunPCC_2,6,198
100,0.80784,0.24314,0.3098,7Networks_LH_Default_PHC_1,6,199
200,0.81569,0.24706,0.30196,7Networks_RH_Default_pCunPCC_3,6,200